Name,Price,Rating,Brand,Gender,ProductType,Fragrance_family,Character,Ingredients,Concentration,Top_note,Middle_note,Base_note,Size,Year
Estée Lauder Pleasures,251 SAR,5,Estée Lauder,Women,Perfume,Natural,Perfume,1995,"White Lily, Violet Leaves, Green Accents, Black Lilac, White Peony, Karo-Karounde Blossoms, Baie Rose, Pink Rose, Jasmine, Sandalwood, Patchouli",Eau de Parfum,"White Lily, Violet Leaves, Green Accents.","Black Lilac, White Peony, Karo-Karounde Blossoms, Baie Rose, Pink Rose, Jasmine.",Floral,30 ml
Ajwa Home Cotton - 400 ml,35 SAR,none,400 ml,Ajwa Home,Room Spray,Natural,Perfume,1995,"White Lily, Violet Leaves, Green Accents, Black Lilac, White Peony, Karo-Karounde Blossoms, Baie Rose, Pink Rose, Jasmine, Sandalwood, Patchouli",Eau de Parfum,"White Lily, Violet Leaves, Green Accents.","Black Lilac, White Peony, Karo-Karounde Blossoms, Baie Rose, Pink Rose, Jasmine.",Floral,30 ml
Bentley For Men Intense,216 SAR,4.6,Bentley,Men,Perfume,Masculine,Perfume,2013,"Bergamot, Black Pepper, Bay Leaf,Clary Sage, African Geranium, Cinnamon, Rum, Woody Notes,Leather, Benzoin, Incense, Cedar, Patchouli",Eau de Parfum,"Bergamot, Black Pepper, Bay Leaf","Clary Sage, African Geranium, Cinnamon, Rum, Woody Notes",Oriental,100 ml
Boucheron Place Vendome,209 SAR,4.5,Boucheron,Women,Perfume,Floral,Romantic,2013,"Pink Pepper, Orange Blossom, Rose, Tangerine, Jasmine, Honey, Peony, Cedar",Eau de Parfum,"Mandarin, rose, orange blossom, pink pepper","Praline, peony, honey, jasmine",Gold,100 ml
Van Cleef & Arpels Precious Oud Collection Extraordinaire,759 SAR,5,Van Cleef & Arpels,Women,Perfume,Woody,Natural,2011,"Bergamot, pink pepper, jasmine, tuberose and incense, vetiver, sandalwood, patchouli, agarwood and ambergris.",Eau de Parfum,"Bergamot, and pink pepper","Jasmine, tuberose and incense","Black,Beige",75 ml
Lancome Idole,412 SAR,5,Lancome,Women,Perfume,Floral,Romantic,"Bergamot (Citrus),Juicy Pear, Pink Peppercorn, Rose, Jasmine, White Musk, Vanilla, Patchouli, Cedarwood",Eau de Parfum,"Bergamot (Citrus),Juicy Pear, Pink Peppercorn","Rose, Jasmine","White Musk, Vanilla, Patchouli, Cedarwood",50 ml,2019
Mont Blanc Legend,178 SAR,5,Mont Blanc,Men,Perfume,Charismatic,Perfume,2011,"Bergamot, Lavender, Pineapple Leaf, Verbena, Oak Moss, Geranium, Coumarin, Apple, Rose, Pomarosa Molecule, Sandalwood, Tonka, Evernyl",Eau de Toilette,"Bergamot, Lavender, Pineapple Leaf, Verbena","Oak Moss, Geranium, Coumarin, Apple, Rose, Pomarosa Molecule",Woody Oriental,50 ml
Chanel Chance Eau Tendre,399 SAR,none,Mont Blanc,Men,Perfume,Charismatic,Perfume,2011,"Bergamot, Lavender, Pineapple Leaf, Verbena, Oak Moss, Geranium, Coumarin, Apple, Rose, Pomarosa Molecule, Sandalwood, Tonka, Evernyl",Eau de Toilette,"Bergamot, Lavender, Pineapple Leaf, Verbena","Oak Moss, Geranium, Coumarin, Apple, Rose, Pomarosa Molecule",Woody Oriental,50 ml
Lalique Lalique Le Parfum,189 SAR,none,Mont Blanc,Men,Perfume,Charismatic,Perfume,2011,"Bergamot, Lavender, Pineapple Leaf, Verbena, Oak Moss, Geranium, Coumarin, Apple, Rose, Pomarosa Molecule, Sandalwood, Tonka, Evernyl",Eau de Toilette,"Bergamot, Lavender, Pineapple Leaf, Verbena","Oak Moss, Geranium, Coumarin, Apple, Rose, Pomarosa Molecule",Woody Oriental,50 ml
Alexandre.J The Collector Morning Muscs,620 SAR,5,Alexandre.J,Unisex,Perfume,Floral Oriental,Charismatic,2012,"Alcohol Denat., Fragrance (Parfum), Water (Aqua), Butylphenyl Methylpropional, Limonene, Hexyl Cinnamal, Benzyl Salicylate, Citronellol, Linalool, Alpha-Isomethyl Ionone, Geraniol, Cinnamyl Alcohol, Eugenol",Eau de Parfum,"Mandarin, Grapefruit, Peach, Toffee","Russian Rose, Turkish Rose, Patchouli, Violet","Gold,Brown",100 ml
Versace Eros Pour Homme,299 SAR,none,Versace,Men,Perfume,Woody Oriental,Sophisticated,Eau de Parfum,"Mint, Candy Apple, Lemon, Mandarin Orange","Ambroxan, Clary Sage, Geranium","Vanilla, Leather, Sandalwood, Bitter Orange, Cedar, Patchouli","Russian Rose, Turkish Rose, Patchouli, Violet","Gold,Brown",100 ml
Al Dakheel Oud Rashoosh Bushra - 250 ml,46 SAR,none,Versace,Men,Perfume,Woody Oriental,Sophisticated,Eau de Parfum,"Mint, Candy Apple, Lemon, Mandarin Orange","Ambroxan, Clary Sage, Geranium","Vanilla, Leather, Sandalwood, Bitter Orange, Cedar, Patchouli","Russian Rose, Turkish Rose, Patchouli, Violet","Gold,Brown",100 ml
Lacoste Eau De Lacoste L.12.12 Noire,188 SAR,none,Versace,Men,Perfume,Woody Oriental,Sophisticated,Eau de Parfum,"Mint, Candy Apple, Lemon, Mandarin Orange","Ambroxan, Clary Sage, Geranium","Vanilla, Leather, Sandalwood, Bitter Orange, Cedar, Patchouli","Russian Rose, Turkish Rose, Patchouli, Violet","Gold,Brown",100 ml
Calvin Klein Ck One Shock,123 SAR,none,Calvin Klein,Men,Perfume,Oriental,Perfume,Eau de Toilette,"citrusy clementine, fresh cucumber","black pepper, black basil, cardamom, musk",patchouli and ambrene woodsy notes.,"Russian Rose, Turkish Rose, Patchouli, Violet","Gold,Brown",100 ml
Tom Ford Velvet Orchid,644 SAR,none,Calvin Klein,Men,Perfume,Oriental,Perfume,Eau de Toilette,"citrusy clementine, fresh cucumber","black pepper, black basil, cardamom, musk",patchouli and ambrene woodsy notes.,"Russian Rose, Turkish Rose, Patchouli, Violet","Gold,Brown",100 ml
Coach For Men,226 SAR,none,Coach,Men,Perfume,Black,Masculine,Eau de Toilette,"Bergamot, Kumquat, Pear","Geranium, Cardamom, Coriander (Cilantro)","Ambergris, Suede, Haitian Vetiver","Russian Rose, Turkish Rose, Patchouli, Violet","Gold,Brown",100 ml
